doc_id,doc,target,arguments,resps,filtered_resps,doc_hash,prompt_hash,target_hash,exact_match
0,"{'premise': '새로 산 바지의 허리가 컸다.', 'question': '결과', 'alternative_1': '바지의 밑단을 잘랐다.', 'alternative_2': '벨트를 바지에 끼워 사이즈를 조절했다.', 'label': 1}",2,"{'gen_args_0': {'arg_0': ['[{""role"": ""user"", ""content"": ""\\ub2e4\\uc74c \\uc804\\uc81c\\uc640 \\uc774\\uc5b4\\uc9c0\\ub294 \\ubcf4\\uae30\\uac00 \\uc788\\uc2b5\\ub2c8\\ub2e4. \\ub458 \\uc911 \\ub354 \\uc54c\\ub9de\\uc740 \\ubcf4\\uae30\\ub97c \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\ubd80\\uac00 \\uc124\\uba85 \\uc5c6\\uc774 1\\uacfc 2 \\uc911\\uc5d0 \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\uc804\\uc81c: \\uc0c8\\ub85c \\uc0b0 \\ubc14\\uc9c0\\uc758 \\ud5c8\\ub9ac\\uac00 \\ucef8\\ub2e4.  \\uadf8\\ub798\\uc11c:\\n1.\\ubc14\\uc9c0\\uc758 \\ubc11\\ub2e8\\uc744 \\uc798\\ub790\\ub2e4.\\n2.\\ubca8\\ud2b8\\ub97c \\ubc14\\uc9c0\\uc5d0 \\ub07c\\uc6cc \\uc0ac\\uc774\\uc988\\ub97c \\uc870\\uc808\\ud588\\ub2e4.""}]'], 'arg_1': {'until': ['\n\n'], 'do_sample': False}}}",[['2.벨트를 바지에 끼워 사이즈를 조절했다.']],['2'],f599acd09d5e55b5959aef21f0ba7e39ea5b0701c64ab8646c5c75dfdc710610,4c91d39a5ddd107f534a0307b5ebd1c2b645d418c259db19578f239df7e6034a,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,1
1,"{'premise': '영화를 보고 눈물을 흘렸다.', 'question': '원인', 'alternative_1': '재밌는 내용의 영화를 봤다.', 'alternative_2': '슬픈 내용의 영화를 봤다.', 'label': 1}",2,"{'gen_args_0': {'arg_0': ['[{""role"": ""user"", ""content"": ""\\ub2e4\\uc74c \\uc804\\uc81c\\uc640 \\uc774\\uc5b4\\uc9c0\\ub294 \\ubcf4\\uae30\\uac00 \\uc788\\uc2b5\\ub2c8\\ub2e4. \\ub458 \\uc911 \\ub354 \\uc54c\\ub9de\\uc740 \\ubcf4\\uae30\\ub97c \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\ubd80\\uac00 \\uc124\\uba85 \\uc5c6\\uc774 1\\uacfc 2 \\uc911\\uc5d0 \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\uc804\\uc81c: \\uc601\\ud654\\ub97c \\ubcf4\\uace0 \\ub208\\ubb3c\\uc744 \\ud758\\ub838\\ub2e4.  \\uc65c\\ub0d0\\ud558\\uba74:\\n1.\\uc7ac\\ubc0c\\ub294 \\ub0b4\\uc6a9\\uc758 \\uc601\\ud654\\ub97c \\ubd24\\ub2e4.\\n2.\\uc2ac\\ud508 \\ub0b4\\uc6a9\\uc758 \\uc601\\ud654\\ub97c \\ubd24\\ub2e4.""}]'], 'arg_1': {'until': ['\n\n'], 'do_sample': False}}}",[['2.슬픈 내용의 영화를 봤다.']],['2'],d621d20208bbcb494b5643b31ab9cb09520b35efb8451455ce77e9854375576c,a7428ae11d4b0a7daffd6a2704fe363d9e406d079c958fb9202e957cd0d5806e,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,1
2,"{'premise': '한 책의 수요량이 증가했다.', 'question': '원인', 'alternative_1': '해당 책에 대해 나쁜 비평(혹평)이 쏟아졌다.', 'alternative_2': '해당 책에 대해 좋은 비평이 쏟아졌다.', 'label': 1}",2,"{'gen_args_0': {'arg_0': ['[{""role"": ""user"", ""content"": ""\\ub2e4\\uc74c \\uc804\\uc81c\\uc640 \\uc774\\uc5b4\\uc9c0\\ub294 \\ubcf4\\uae30\\uac00 \\uc788\\uc2b5\\ub2c8\\ub2e4. \\ub458 \\uc911 \\ub354 \\uc54c\\ub9de\\uc740 \\ubcf4\\uae30\\ub97c \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\ubd80\\uac00 \\uc124\\uba85 \\uc5c6\\uc774 1\\uacfc 2 \\uc911\\uc5d0 \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\uc804\\uc81c: \\ud55c \\ucc45\\uc758 \\uc218\\uc694\\ub7c9\\uc774 \\uc99d\\uac00\\ud588\\ub2e4.  \\uc65c\\ub0d0\\ud558\\uba74:\\n1.\\ud574\\ub2f9 \\ucc45\\uc5d0 \\ub300\\ud574 \\ub098\\uc05c \\ube44\\ud3c9(\\ud639\\ud3c9)\\uc774 \\uc3df\\uc544\\uc84c\\ub2e4.\\n2.\\ud574\\ub2f9 \\ucc45\\uc5d0 \\ub300\\ud574 \\uc88b\\uc740 \\ube44\\ud3c9\\uc774 \\uc3df\\uc544\\uc84c\\ub2e4.""}]'], 'arg_1': {'until': ['\n\n'], 'do_sample': False}}}",[['2.해당 책에 대해 좋은 비평이 쏟아졌다.']],['2'],229d881aa19ca9e6f94d48adf8d2033a627c5e20dd000f10f0076a0041f12c93,e862c7e685e521e0aada5b5cd4e6f22984f86dd244c2b47836eade6af175760e,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,1
3,"{'premise': '따뜻한 물에 얼음을 넣었다.', 'question': '결과', 'alternative_1': '물이 얼음으로 변했다.', 'alternative_2': '물이 차가워졌다.', 'label': 1}",2,"{'gen_args_0': {'arg_0': ['[{""role"": ""user"", ""content"": ""\\ub2e4\\uc74c \\uc804\\uc81c\\uc640 \\uc774\\uc5b4\\uc9c0\\ub294 \\ubcf4\\uae30\\uac00 \\uc788\\uc2b5\\ub2c8\\ub2e4. \\ub458 \\uc911 \\ub354 \\uc54c\\ub9de\\uc740 \\ubcf4\\uae30\\ub97c \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\ubd80\\uac00 \\uc124\\uba85 \\uc5c6\\uc774 1\\uacfc 2 \\uc911\\uc5d0 \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\uc804\\uc81c: \\ub530\\ub73b\\ud55c \\ubb3c\\uc5d0 \\uc5bc\\uc74c\\uc744 \\ub123\\uc5c8\\ub2e4.  \\uadf8\\ub798\\uc11c:\\n1.\\ubb3c\\uc774 \\uc5bc\\uc74c\\uc73c\\ub85c \\ubcc0\\ud588\\ub2e4.\\n2.\\ubb3c\\uc774 \\ucc28\\uac00\\uc6cc\\uc84c\\ub2e4.""}]'], 'arg_1': {'until': ['\n\n'], 'do_sample': False}}}",[['2.물이 차가워졌다.']],['2'],6ac1589f57e804ca6ac4c7751d441889185b8f3c5b942c082a1db76028ee238f,f8fd723cf0eccb7b8e61336c4551f6b16861124da31a0ef9a1c3174d4a9109d6,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,1
4,"{'premise': '보도에서 흙탕물이 고인 웅덩이를 발견했다.', 'question': '결과', 'alternative_1': '웅덩이에 바로 들어갔다.', 'alternative_2': '웅덩이를 피해 보도를 계속 걸었다.', 'label': 1}",2,"{'gen_args_0': {'arg_0': ['[{""role"": ""user"", ""content"": ""\\ub2e4\\uc74c \\uc804\\uc81c\\uc640 \\uc774\\uc5b4\\uc9c0\\ub294 \\ubcf4\\uae30\\uac00 \\uc788\\uc2b5\\ub2c8\\ub2e4. \\ub458 \\uc911 \\ub354 \\uc54c\\ub9de\\uc740 \\ubcf4\\uae30\\ub97c \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\ubd80\\uac00 \\uc124\\uba85 \\uc5c6\\uc774 1\\uacfc 2 \\uc911\\uc5d0 \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\uc804\\uc81c: \\ubcf4\\ub3c4\\uc5d0\\uc11c \\ud759\\ud0d5\\ubb3c\\uc774 \\uace0\\uc778 \\uc6c5\\ub369\\uc774\\ub97c \\ubc1c\\uacac\\ud588\\ub2e4.  \\uadf8\\ub798\\uc11c:\\n1.\\uc6c5\\ub369\\uc774\\uc5d0 \\ubc14\\ub85c \\ub4e4\\uc5b4\\uac14\\ub2e4.\\n2.\\uc6c5\\ub369\\uc774\\ub97c \\ud53c\\ud574 \\ubcf4\\ub3c4\\ub97c \\uacc4\\uc18d \\uac78\\uc5c8\\ub2e4.""}]'], 'arg_1': {'until': ['\n\n'], 'do_sample': False}}}",[['2.웅덩이를 피해 보도를 계속 걸었다.']],['2'],81a62b4d59489f84cb242d8aa6993e62b22d1f03f089c6626b11aef7747b13fa,254db340c6ca28ec4f205b13a02522dfeae5cb766aa3c64e33620563abaf19fc,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,1
5,"{'premise': '물병을 냉동실에 넣었다.', 'question': '결과', 'alternative_1': '물이 얼었다.', 'alternative_2': '물이 끓었다.', 'label': 0}",1,"{'gen_args_0': {'arg_0': ['[{""role"": ""user"", ""content"": ""\\ub2e4\\uc74c \\uc804\\uc81c\\uc640 \\uc774\\uc5b4\\uc9c0\\ub294 \\ubcf4\\uae30\\uac00 \\uc788\\uc2b5\\ub2c8\\ub2e4. \\ub458 \\uc911 \\ub354 \\uc54c\\ub9de\\uc740 \\ubcf4\\uae30\\ub97c \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\ubd80\\uac00 \\uc124\\uba85 \\uc5c6\\uc774 1\\uacfc 2 \\uc911\\uc5d0 \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\uc804\\uc81c: \\ubb3c\\ubcd1\\uc744 \\ub0c9\\ub3d9\\uc2e4\\uc5d0 \\ub123\\uc5c8\\ub2e4.  \\uadf8\\ub798\\uc11c:\\n1.\\ubb3c\\uc774 \\uc5bc\\uc5c8\\ub2e4.\\n2.\\ubb3c\\uc774 \\ub053\\uc5c8\\ub2e4.""}]'], 'arg_1': {'until': ['\n\n'], 'do_sample': False}}}",[['1.물이 얼었다.']],['1'],5811c9b1f8b22b7d4f97c79f513712be2c2b23247cbf26f3e468204c5dba7ba8,b3a555f611c29ceb09a91a55d592da296281af20236b7706baae40663b85fa20,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,1
6,"{'premise': '끓는 물에 감자를 넣었다.', 'question': '결과', 'alternative_1': '감자가 맛있게 삶아졌다.', 'alternative_2': '감자가 맛있게 구워졌다.', 'label': 0}",1,"{'gen_args_0': {'arg_0': ['[{""role"": ""user"", ""content"": ""\\ub2e4\\uc74c \\uc804\\uc81c\\uc640 \\uc774\\uc5b4\\uc9c0\\ub294 \\ubcf4\\uae30\\uac00 \\uc788\\uc2b5\\ub2c8\\ub2e4. \\ub458 \\uc911 \\ub354 \\uc54c\\ub9de\\uc740 \\ubcf4\\uae30\\ub97c \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\ubd80\\uac00 \\uc124\\uba85 \\uc5c6\\uc774 1\\uacfc 2 \\uc911\\uc5d0 \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\uc804\\uc81c: \\ub053\\ub294 \\ubb3c\\uc5d0 \\uac10\\uc790\\ub97c \\ub123\\uc5c8\\ub2e4.  \\uadf8\\ub798\\uc11c:\\n1.\\uac10\\uc790\\uac00 \\ub9db\\uc788\\uac8c \\uc0b6\\uc544\\uc84c\\ub2e4.\\n2.\\uac10\\uc790\\uac00 \\ub9db\\uc788\\uac8c \\uad6c\\uc6cc\\uc84c\\ub2e4.""}]'], 'arg_1': {'until': ['\n\n'], 'do_sample': False}}}",[['1.감자가 맛있게 삶아졌다.']],['1'],5b6fbd108846a77bf05020ad9f1aabb07334b0b56780663410496a89bd8bc58a,4cd92abcd82443d2484c4dde5cbebcce70f2f17768469faaaca4a4620193367a,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,1
7,"{'premise': '여자는 긴 머리가 거추장스럽다고 느꼈다.', 'question': '결과', 'alternative_1': '여자는 머리를 잘랐다.', 'alternative_2': '여자는 머리를 길렀다.', 'label': 0}",1,"{'gen_args_0': {'arg_0': ['[{""role"": ""user"", ""content"": ""\\ub2e4\\uc74c \\uc804\\uc81c\\uc640 \\uc774\\uc5b4\\uc9c0\\ub294 \\ubcf4\\uae30\\uac00 \\uc788\\uc2b5\\ub2c8\\ub2e4. \\ub458 \\uc911 \\ub354 \\uc54c\\ub9de\\uc740 \\ubcf4\\uae30\\ub97c \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\ubd80\\uac00 \\uc124\\uba85 \\uc5c6\\uc774 1\\uacfc 2 \\uc911\\uc5d0 \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\uc804\\uc81c: \\uc5ec\\uc790\\ub294 \\uae34 \\uba38\\ub9ac\\uac00 \\uac70\\ucd94\\uc7a5\\uc2a4\\ub7fd\\ub2e4\\uace0 \\ub290\\uaf08\\ub2e4.  \\uadf8\\ub798\\uc11c:\\n1.\\uc5ec\\uc790\\ub294 \\uba38\\ub9ac\\ub97c \\uc798\\ub790\\ub2e4.\\n2.\\uc5ec\\uc790\\ub294 \\uba38\\ub9ac\\ub97c \\uae38\\ub800\\ub2e4.""}]'], 'arg_1': {'until': ['\n\n'], 'do_sample': False}}}",[['1.여자는 머리를 잘랐다.']],['1'],e3b7a0a54f49458ce649c168a22b313f49b68741d1c0effcf3256d8cb0f6d289,cf978578f68d6a2b533a950672de026173ce2e1bc2963a5d8f3bca96165b13f9,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,1
8,"{'premise': '물을 오래 끓였다.', 'question': '결과', 'alternative_1': '물의 양이 늘어났다.', 'alternative_2': '물의 양이 줄어들었다.', 'label': 1}",2,"{'gen_args_0': {'arg_0': ['[{""role"": ""user"", ""content"": ""\\ub2e4\\uc74c \\uc804\\uc81c\\uc640 \\uc774\\uc5b4\\uc9c0\\ub294 \\ubcf4\\uae30\\uac00 \\uc788\\uc2b5\\ub2c8\\ub2e4. \\ub458 \\uc911 \\ub354 \\uc54c\\ub9de\\uc740 \\ubcf4\\uae30\\ub97c \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\ubd80\\uac00 \\uc124\\uba85 \\uc5c6\\uc774 1\\uacfc 2 \\uc911\\uc5d0 \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\uc804\\uc81c: \\ubb3c\\uc744 \\uc624\\ub798 \\ub053\\uc600\\ub2e4.  \\uadf8\\ub798\\uc11c:\\n1.\\ubb3c\\uc758 \\uc591\\uc774 \\ub298\\uc5b4\\ub0ac\\ub2e4.\\n2.\\ubb3c\\uc758 \\uc591\\uc774 \\uc904\\uc5b4\\ub4e4\\uc5c8\\ub2e4.""}]'], 'arg_1': {'until': ['\n\n'], 'do_sample': False}}}",[['2.물의 양이 줄어들었다.']],['2'],a94acc17134e10cf4c24b4adb718b7561f3d6e7c830aaa11efb9981f08da0890,41e81e7fa5c26aebaf5c9c7f63961231a4480c245a140053b8601416e9c4da04,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,1
9,"{'premise': '연예인에게 고소 당했다.', 'question': '원인', 'alternative_1': '좋아하는 연예인에게 선플을 썼다.', 'alternative_2': '싫어하는 연예인에게 악플을 달았다.', 'label': 1}",2,"{'gen_args_0': {'arg_0': ['[{""role"": ""user"", ""content"": ""\\ub2e4\\uc74c \\uc804\\uc81c\\uc640 \\uc774\\uc5b4\\uc9c0\\ub294 \\ubcf4\\uae30\\uac00 \\uc788\\uc2b5\\ub2c8\\ub2e4. \\ub458 \\uc911 \\ub354 \\uc54c\\ub9de\\uc740 \\ubcf4\\uae30\\ub97c \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\ubd80\\uac00 \\uc124\\uba85 \\uc5c6\\uc774 1\\uacfc 2 \\uc911\\uc5d0 \\uc120\\ud0dd\\ud574\\uc8fc\\uc138\\uc694. \\uc804\\uc81c: \\uc5f0\\uc608\\uc778\\uc5d0\\uac8c \\uace0\\uc18c \\ub2f9\\ud588\\ub2e4.  \\uc65c\\ub0d0\\ud558\\uba74:\\n1.\\uc88b\\uc544\\ud558\\ub294 \\uc5f0\\uc608\\uc778\\uc5d0\\uac8c \\uc120\\ud50c\\uc744 \\uc37c\\ub2e4.\\n2.\\uc2eb\\uc5b4\\ud558\\ub294 \\uc5f0\\uc608\\uc778\\uc5d0\\uac8c \\uc545\\ud50c\\uc744 \\ub2ec\\uc558\\ub2e4.""}]'], 'arg_1': {'until': ['\n\n'], 'do_sample': False}}}",[['2.싫어하는 연예인에게 악플을 달았다.']],['2'],abb33bf777542ff46d3148adb471ebb7a4ddc7670c966c2552abb2cfee37f021,a85870d883db1d7ae5abd21af38153725b315566dbd30de147b08089d842278e,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,1
